Name,Author,User Rating,Reviews,Price,Year,Genre,Gender
The Elegance of the Hedgehog,Muriel Barbery,4,1859,11,2009,Fiction,Female
P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,4.7,10820,5,2018,Non Fiction,Female
P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,4.7,10820,5,2019,Non Fiction,Female
Strange Planet (Strange Planet Series),Nathan W. Pyle,4.9,9382,6,2019,Fiction,Male
"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",National Geographic Kids,4.8,7665,12,2019,Non Fiction,Company
Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.7,9374,9,2017,Non Fiction,Male
Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,Paper Peony Press,4.4,7550,6,2018,Non Fiction,Company
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,3207,6,2009,Non Fiction,Male
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,3207,6,2010,Non Fiction,Male
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,3207,6,2011,Non Fiction,Male
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,3207,6,2012,Non Fiction,Male
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,3207,6,2013,Non Fiction,Male
The Legend of Zelda: Hyrule Historia,Patrick Thorpe,4.9,5396,20,2013,Fiction,Male
When Breath Becomes Air,Paul Kalanithi,4.8,13779,14,2016,Non Fiction,Male
The Girl on the Train,Paula Hawkins,4.1,79446,18,2015,Fiction,Female
The Girl on the Train,Paula Hawkins,4.1,79446,7,2016,Fiction,Female
The Paris Wife: A Novel,Paula McLain,4.3,3759,16,2011,Fiction,Female
The Alchemist,Paulo Coelho,4.7,35799,39,2014,Fiction,Male
Obama: An Intimate Portrait,Pete Souza,4.9,3192,22,2017,Non Fiction,Male
George Washington's Sacred Fire,Peter A. Lillback,4.5,408,20,2010,Non Fiction,Male
"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",Phil Robertson,4.8,4148,11,2013,Non Fiction,Male
"The Dukan Diet: 2 Steps to Lose the Weight, 2 Steps to Keep It Off Forever",Pierre Dukan,4.1,2023,15,2011,Non Fiction,Male
Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal,Pretty Simple Press,4.6,10141,6,2019,Non Fiction,Company
Wonder,R. J. Palacio,4.8,21625,9,2013,Fiction,Female
Wonder,R. J. Palacio,4.8,21625,9,2014,Fiction,Female
Wonder,R. J. Palacio,4.8,21625,9,2015,Fiction,Female
Wonder,R. J. Palacio,4.8,21625,9,2016,Fiction,Female
Wonder,R. J. Palacio,4.8,21625,9,2017,Fiction,Female
"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Rachel Hollis,4.6,7660,12,2019,Non Fiction,Female
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,4.6,22288,12,2018,Non Fiction,Female
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,4.6,22288,12,2019,Non Fiction,Female
Guts,Raina Telgemeier,4.8,5476,7,2019,Non Fiction,Female
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,4.7,9292,17,2014,Non Fiction,Male
The Last Lecture,Randy Pausch,4.7,4028,9,2009,Non Fiction,Male
Fahrenheit 451,Ray Bradbury,4.6,10721,8,2016,Fiction,Male
Fahrenheit 451,Ray Bradbury,4.6,10721,8,2018,Fiction,Male
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,9289,13,2010,Non Fiction,Female
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,9289,9,2011,Non Fiction,Female
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,9289,9,2012,Non Fiction,Female
"The Pioneer Woman Cooks: A Year of Holidays: 140 Step-by-Step Recipes for Simple, Scrumptious Celebrations",Ree Drummond,4.8,2663,17,2013,Non Fiction,Female
"The Pioneer Woman Cooks: Dinnertime - Comfort Classics, Freezer Food, 16-minute Meals, and Other Delicious Ways to Solve…",Ree Drummond,4.8,3428,14,2015,Non Fiction,Female
The Pioneer Woman Cooks: Food from My Frontier,Ree Drummond,4.8,2876,21,2012,Non Fiction,Female
Frozen (Little Golden Book),RH Disney,4.7,3642,0,2014,Fiction,Company
JOURNEY TO THE ICE P,RH Disney,4.6,978,0,2014,Fiction,Company
Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),Rick Riordan,4.8,548,2,2010,Fiction,Male
The Blood of Olympus (The Heroes of Olympus (5)),Rick Riordan,4.8,6600,11,2014,Fiction,Male
"The House of Hades (Heroes of Olympus, Book 4)",Rick Riordan,4.8,6982,14,2013,Fiction,Male
"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,4.8,4628,7,2009,Fiction,Male
"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,4.8,4628,7,2010,Fiction,Male
"The Lost Hero (Heroes of Olympus, Book 1)",Rick Riordan,4.8,4506,14,2010,Fiction,Male
"The Mark of Athena (Heroes of Olympus, Book 3)",Rick Riordan,4.8,6247,10,2012,Fiction,Male
"The Red Pyramid (The Kane Chronicles, Book 1)",Rick Riordan,4.6,2186,12,2010,Fiction,Male
"The Serpent's Shadow (The Kane Chronicles, Book 3)",Rick Riordan,4.8,2091,12,2012,Fiction,Male
"The Son of Neptune (Heroes of Olympus, Book 2)",Rick Riordan,4.8,4290,10,2011,Fiction,Male
"The Throne of Fire (The Kane Chronicles, Book 2)",Rick Riordan,4.7,1463,10,2011,Fiction,Male
"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Rob Bell,4.2,1649,13,2011,Non Fiction,Male
Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,4,2013,Non Fiction,Male
Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,4,2014,Non Fiction,Male
Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,4,2015,Non Fiction,Male
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2013,Non Fiction,Male
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2014,Non Fiction,Male
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2015,Non Fiction,Male
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2016,Non Fiction,Male
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2017,Non Fiction,Male
"Towers of Midnight (Wheel of Time, Book Thirteen)",Robert Jordan,4.8,2282,21,2010,Fiction,Male
Love You Forever,Robert Munsch,4.8,18613,5,2014,Fiction,Male
Love You Forever,Robert Munsch,4.8,18613,5,2015,Fiction,Male
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2015,Fiction,Male
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2016,Fiction,Male
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2017,Fiction,Male
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2018,Fiction,Male
First 100 Words,Roger Priddy,4.7,17323,4,2014,Non Fiction,Male
First 100 Words,Roger Priddy,4.7,17323,4,2015,Non Fiction,Male
First 100 Words,Roger Priddy,4.7,17323,4,2016,Non Fiction,Male
First 100 Words,Roger Priddy,4.7,17323,4,2017,Non Fiction,Male
First 100 Words,Roger Priddy,4.7,17323,4,2018,Non Fiction,Male
Alexander Hamilton,Ron Chernow,4.8,9198,13,2016,Non Fiction,Male
Milk and Honey,Rupi Kaur,4.7,17739,8,2016,Non Fiction,Female
Milk and Honey,Rupi Kaur,4.7,17739,8,2017,Non Fiction,Female
Milk and Honey,Rupi Kaur,4.7,17739,8,2018,Non Fiction,Female
The Sun and Her Flowers,Rupi Kaur,4.7,5487,9,2017,Non Fiction,Female
Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),Rush Limbaugh,4.9,7150,12,2013,Fiction,Male
Rush Revere and the First Patriots: Time-Travel Adventures With Exceptional Americans (2),Rush Limbaugh,4.9,3836,12,2014,Fiction,Male
"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,4.8,7802,20,2018,Non Fiction,Female
"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,4.8,7802,20,2019,Non Fiction,Female
The Going-To-Bed Book,Sandra Boynton,4.8,5249,5,2016,Fiction,Female
The Going-To-Bed Book,Sandra Boynton,4.8,5249,5,2017,Fiction,Female
Water for Elephants: A Novel,Sara Gruen,4.5,8958,12,2011,Fiction,Female
Going Rogue: An American Life,Sarah Palin,4.6,1636,6,2009,Non Fiction,Female
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2011,Non Fiction,Female
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2012,Non Fiction,Female
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2013,Non Fiction,Female
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2014,Non Fiction,Female
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2015,Non Fiction,Female
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2016,Non Fiction,Female
Calm the F*ck Down: An Irreverent Adult Coloring Book (Irreverent Book Series),Sasha O'Hara,4.6,10369,4,2016,Non Fiction,Female
Harry Potter Coloring Book,Scholastic,4.7,3564,9,2015,Non Fiction,Company
Pokémon Deluxe Essential Handbook: The Need-to-Know Stats and Facts on Over 700 Pokémon,Scholastic,4.7,3503,9,2016,Fiction,Company
"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading…",School Zone,4.8,23047,6,2018,Non Fiction,Company
"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading…",School Zone,4.8,23047,6,2019,Non Fiction,Company
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,7038,7,2012,Fiction,Female
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,7038,7,2013,Fiction,Female
"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,4.5,6132,13,2013,Non Fiction,Female
"Option B: Facing Adversity, Building Resilience, and Finding Joy",Sheryl Sandberg,4.5,1831,9,2017,Non Fiction,Female
Unicorn Coloring Book: For Kids Ages 4-8 (US Edition) (Silly Bear Coloring Books),Silly Bear,4.8,6108,4,2019,Non Fiction,Company
The Love Dare,Stephen Kendrick,4.8,1655,13,2009,Non Fiction,Male
11/22/63: A Novel,Stephen King,4.6,2052,22,2011,Fiction,Male
Doctor Sleep: A Novel,Stephen King,4.7,15845,13,2013,Fiction,Male
Joyland (Hard Case Crime),Stephen King,4.5,4748,12,2013,Fiction,Male
Under the Dome: A Novel,Stephen King,4.3,6740,20,2009,Fiction,Male
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,9325,24,2009,Non Fiction,Male
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,9325,24,2011,Non Fiction,Male
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,9325,24,2012,Non Fiction,Male
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,9325,24,2013,Non Fiction,Male
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.7,4725,16,2015,Non Fiction,Male
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.7,4725,16,2016,Non Fiction,Male
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.7,4725,16,2017,Non Fiction,Male
"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,4.6,9769,13,2009,Fiction,Female
Eclipse (Twilight Sagas),Stephenie Meyer,4.7,5505,7,2009,Fiction,Female
Eclipse (Twilight),Stephenie Meyer,4.7,5505,18,2009,Fiction,Female
New Moon (The Twilight Saga),Stephenie Meyer,4.6,5680,10,2009,Fiction,Female
The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga),Stephenie Meyer,4.6,2122,0,2010,Fiction,Female
The Twilight Saga Collection,Stephenie Meyer,4.7,3801,82,2009,Fiction,Female
"Twilight (The Twilight Saga, Book 1)",Stephenie Meyer,4.7,11676,9,2009,Fiction,Female
"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,4.6,5013,17,2009,Non Fiction,Male
"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",Steven D. Levitt,4.5,1583,18,2009,Non Fiction,Male
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,4.7,7747,14,2010,Fiction,Male
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,4.7,7747,14,2011,Fiction,Male
The Girl Who Played with Fire (Millennium Series),Stieg Larsson,4.7,7251,9,2010,Fiction,Male
The Girl Who Played with Fire (Millennium),Stieg Larsson,4.7,7251,16,2009,Fiction,Male
The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,4.4,10559,2,2009,Fiction,Male
The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,4.4,10559,2,2010,Fiction,Male
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.6,10009,20,2012,Non Fiction,Female
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.6,10009,7,2013,Non Fiction,Female
Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,11,2010,Fiction,Female
Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,11,2011,Fiction,Female
Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,11,2012,Fiction,Female
Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,8,2010,Fiction,Female
Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,8,2011,Fiction,Female
Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,8,2012,Fiction,Female
The Hunger Games,Suzanne Collins,4.7,32122,14,2010,Fiction,Female
The Hunger Games (Book 1),Suzanne Collins,4.7,32122,8,2011,Fiction,Female
The Hunger Games (Book 1),Suzanne Collins,4.7,32122,8,2012,Fiction,Female
The Hunger Games Trilogy Boxed Set (1),Suzanne Collins,4.8,16949,30,2011,Fiction,Female
The Hunger Games Trilogy Boxed Set (1),Suzanne Collins,4.8,16949,30,2012,Fiction,Female
Between the World and Me,Ta-Nehisi Coates,4.7,10070,13,2015,Non Fiction,Female
Between the World and Me,Ta-Nehisi Coates,4.7,10070,13,2016,Non Fiction,Female
Educated: A Memoir,Tara Westover,4.7,28729,15,2018,Non Fiction,Female
Educated: A Memoir,Tara Westover,4.7,28729,15,2019,Non Fiction,Female
Sarah's Key,Tatiana de Rosnay,4.6,3619,10,2010,Fiction,Female
The Official SAT Study Guide,The College Board,4.4,1201,40,2010,Non Fiction,Company
The Official SAT Study Guide,The College Board,4.4,1201,40,2011,Non Fiction,Company
The Official SAT Study Guide,The College Board,4.4,1201,40,2012,Non Fiction,Company
The Official SAT Study Guide,The College Board,4.4,1201,40,2013,Non Fiction,Company
The Official SAT Study Guide,The College Board,4.4,1201,40,2014,Non Fiction,Company
"The Official SAT Study Guide, 2016 Edition (Official Study Guide for the New Sat)",The College Board,4.3,807,36,2016,Non Fiction,Company
Whose Boat Is This Boat?: Comments That Don't Help in the Aftermath of a Hurricane,The Staff of The Late Show with,4.6,6669,12,2018,Non Fiction,Company
The Mueller Report,The Washington Post,4.6,2744,12,2019,Non Fiction,Company
The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet…,Thomas Campbell,4.7,4633,21,2011,Non Fiction,Male
Capital in the Twenty First Century,Thomas Piketty,4.5,2884,28,2014,Non Fiction,Male
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,4.6,11128,23,2014,Non Fiction,Company
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,4.6,11128,23,2015,Non Fiction,Company
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,4.6,11128,23,2016,Non Fiction,Company
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,4.6,11128,23,2017,Non Fiction,Company
"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",Timothy Ferriss,4.3,4587,21,2011,Non Fiction,Male
"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",Timothy Ferriss,4.6,4360,21,2017,Non Fiction,Male
Tina Fey: Bossypants,Tina Fey,4.3,5977,12,2011,Non Fiction,Female
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,15779,10,2011,Non Fiction,Male
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,15779,10,2012,Non Fiction,Male
"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,4.6,1651,15,2010,Non Fiction,Male
Ship of Fools: How a Selfish Ruling Class Is Bringing America to the Brink of Revolution,Tucker Carlson,4.8,3923,16,2018,Non Fiction,Male
Allegiant,Veronica Roth,3.9,6310,13,2013,Fiction,Female
Divergent,Veronica Roth,4.6,27098,15,2013,Fiction,Female
Divergent,Veronica Roth,4.6,27098,15,2014,Fiction,Female
Divergent / Insurgent,Veronica Roth,4.5,17684,6,2014,Fiction,Female
The 5000 Year Leap,W. Cleon Skousen,4.8,1680,12,2009,Non Fiction,Male
Leonardo da Vinci,Walter Isaacson,4.5,3014,21,2017,Non Fiction,Male
Steve Jobs,Walter Isaacson,4.6,7827,20,2011,Non Fiction,Male
Steve Jobs,Walter Isaacson,4.6,7827,20,2012,Non Fiction,Male
"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,4.4,7497,6,2012,Non Fiction,Male
"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,4.4,7497,6,2013,Non Fiction,Male
The Shack: Where Tragedy Confronts Eternity,William P. Young,4.6,19720,8,2009,Fiction,Male
The Shack: Where Tragedy Confronts Eternity,William P. Young,4.6,19720,8,2017,Fiction,Male
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.8,16990,27,2017,Fiction,Company
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.8,16990,27,2018,Fiction,Company
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.8,16990,27,2019,Fiction,Company
"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All…",Zhi Gang Sha,4.6,37,6,2009,Non Fiction,Male
"Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritual…",Zhi Gang Sha,4.6,220,17,2013,Non Fiction,Male
